job,marital,education,default,housing,loan,contact,month,day_of_week,y
services,single,high.school,no,yes,no,telephone,jun,fri,no
services,married,high.school,no,no,no,telephone,jun,fri,no
admin.,single,high.school,no,yes,yes,telephone,jun,fri,no
retired,married,professional.course,no,no,no,telephone,jun,fri,no
services,married,high.school,unknown,yes,no,telephone,jun,fri,no
entrepreneur,married,basic.9y,no,yes,no,telephone,jun,fri,no
admin.,divorced,university.degree,no,no,no,telephone,jun,fri,no
blue-collar,unknown,basic.9y,unknown,no,no,telephone,jun,fri,no
retired,married,high.school,unknown,yes,no,telephone,jun,fri,yes
blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,fri,no
management,married,university.degree,no,no,no,telephone,jun,fri,no
admin.,married,basic.9y,no,no,yes,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
technician,single,professional.course,no,no,no,telephone,jun,fri,no
unemployed,married,high.school,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,yes,telephone,jun,fri,no
management,married,university.degree,unknown,no,no,telephone,jun,fri,no
management,married,university.degree,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,fri,no
retired,divorced,professional.course,unknown,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,no
blue-collar,single,basic.4y,no,yes,no,telephone,jun,fri,no
management,single,basic.9y,no,yes,no,telephone,jun,fri,no
admin.,divorced,high.school,no,no,yes,telephone,jun,fri,no
blue-collar,married,unknown,unknown,no,yes,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
technician,single,professional.course,no,yes,no,telephone,jun,fri,no
management,married,unknown,no,no,yes,telephone,jun,fri,no
housemaid,married,basic.4y,unknown,yes,no,telephone,jun,fri,no
blue-collar,single,basic.9y,no,yes,no,telephone,jun,fri,no
self-employed,divorced,university.degree,unknown,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,no
technician,divorced,basic.9y,no,no,no,telephone,jun,fri,no
retired,married,basic.9y,unknown,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,yes,yes,telephone,jun,fri,no
services,single,high.school,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,no
student,single,high.school,no,no,no,telephone,jun,fri,no
services,married,high.school,no,no,no,telephone,jun,fri,no
services,married,high.school,unknown,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,yes,no,telephone,jun,fri,no
management,married,university.degree,no,yes,no,telephone,jun,fri,no
entrepreneur,married,basic.4y,no,no,no,telephone,jun,fri,no
blue-collar,single,high.school,no,yes,yes,telephone,jun,fri,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,fri,no
admin.,single,basic.9y,unknown,yes,yes,telephone,jun,fri,no
entrepreneur,single,university.degree,unknown,yes,no,telephone,jun,fri,no
services,divorced,unknown,unknown,yes,no,telephone,jun,fri,no
retired,married,basic.6y,no,yes,yes,telephone,jun,fri,no
self-employed,married,professional.course,no,yes,yes,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
services,married,basic.9y,no,yes,no,telephone,jun,fri,no
entrepreneur,married,basic.4y,no,yes,no,telephone,jun,fri,no
entrepreneur,married,university.degree,unknown,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
admin.,single,university.degree,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,no
services,single,high.school,no,unknown,unknown,telephone,jun,fri,no
entrepreneur,married,university.degree,unknown,no,no,telephone,jun,fri,no
technician,single,professional.course,unknown,no,no,telephone,jun,fri,no
admin.,divorced,high.school,no,no,no,telephone,jun,fri,no
self-employed,single,university.degree,no,unknown,unknown,telephone,jun,fri,no
self-employed,single,university.degree,no,yes,no,telephone,jun,fri,no
technician,single,high.school,no,yes,no,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
technician,married,professional.course,unknown,yes,no,telephone,jun,fri,no
blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,fri,no
services,married,high.school,unknown,yes,no,telephone,jun,fri,no
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,jun,fri,no
admin.,married,high.school,unknown,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
self-employed,single,basic.9y,unknown,yes,yes,telephone,jun,fri,no
self-employed,married,professional.course,unknown,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
retired,married,university.degree,no,yes,no,telephone,jun,fri,no
admin.,married,basic.9y,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
technician,married,professional.course,no,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
management,married,university.degree,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
technician,married,professional.course,no,yes,yes,telephone,jun,fri,no
unemployed,single,university.degree,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
admin.,married,basic.9y,unknown,no,yes,telephone,jun,fri,no
blue-collar,married,university.degree,no,no,no,telephone,jun,fri,no
blue-collar,divorced,unknown,unknown,no,no,telephone,jun,fri,no
admin.,divorced,university.degree,no,no,no,telephone,jun,fri,no
self-employed,married,basic.9y,unknown,yes,no,telephone,jun,fri,no
admin.,single,university.degree,no,no,no,telephone,jun,fri,no
unknown,married,unknown,no,no,no,telephone,jun,fri,no
blue-collar,married,unknown,unknown,no,no,telephone,jun,fri,no
management,divorced,university.degree,no,no,no,telephone,jun,fri,no
admin.,single,high.school,no,yes,yes,telephone,jun,fri,no
technician,single,professional.course,no,yes,yes,telephone,jun,fri,no
admin.,divorced,high.school,unknown,no,yes,telephone,jun,fri,no
services,unknown,professional.course,no,yes,no,telephone,jun,fri,no
entrepreneur,single,university.degree,no,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
admin.,single,university.degree,no,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
admin.,single,high.school,no,no,no,telephone,jun,fri,no
management,married,high.school,unknown,no,no,telephone,jun,fri,no
admin.,married,unknown,no,unknown,unknown,telephone,jun,fri,no
admin.,married,university.degree,no,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
technician,married,professional.course,unknown,no,no,telephone,jun,fri,no
services,married,basic.9y,no,unknown,unknown,telephone,jun,fri,no
admin.,married,high.school,no,no,yes,telephone,jun,fri,no
admin.,married,university.degree,no,unknown,unknown,telephone,jun,fri,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,fri,no
technician,married,basic.6y,no,yes,no,telephone,jun,fri,no
admin.,married,university.degree,no,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,yes,telephone,jun,fri,no
unemployed,married,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,married,professional.course,no,yes,yes,telephone,jun,fri,no
management,married,university.degree,unknown,no,no,telephone,jun,fri,no
housemaid,married,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,jun,fri,no
admin.,married,professional.course,no,no,no,telephone,jun,fri,no
admin.,single,professional.course,unknown,no,yes,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,single,basic.4y,unknown,no,no,telephone,jun,fri,no
blue-collar,married,professional.course,unknown,yes,no,telephone,jun,fri,no
student,single,university.degree,unknown,no,no,telephone,jun,fri,no
services,divorced,high.school,no,yes,no,telephone,jun,fri,no
technician,married,high.school,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
services,single,high.school,no,no,no,telephone,jun,fri,no
technician,divorced,university.degree,no,yes,no,telephone,jun,fri,no
admin.,single,university.degree,unknown,no,no,telephone,jun,fri,no
blue-collar,married,unknown,unknown,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,no
unknown,married,unknown,unknown,yes,no,telephone,jun,fri,no
technician,married,unknown,no,no,no,telephone,jun,fri,no
technician,married,professional.course,no,yes,no,telephone,jun,fri,no
management,married,high.school,no,no,no,telephone,jun,fri,no
blue-collar,single,unknown,unknown,no,yes,telephone,jun,fri,no
blue-collar,divorced,basic.4y,no,yes,yes,telephone,jun,fri,no
services,single,professional.course,no,yes,no,telephone,jun,fri,no
blue-collar,single,high.school,no,no,no,telephone,jun,fri,no
technician,married,high.school,no,no,no,telephone,jun,fri,no
unemployed,divorced,basic.9y,unknown,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,yes
services,married,high.school,no,no,no,telephone,jun,fri,no
technician,married,unknown,no,no,yes,telephone,jun,fri,yes
services,single,high.school,unknown,no,no,telephone,jun,mon,no
admin.,single,university.degree,no,yes,no,telephone,jun,mon,no
admin.,single,university.degree,no,no,no,telephone,jun,mon,yes
management,single,university.degree,no,no,no,telephone,jun,mon,yes
blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,no
management,married,basic.9y,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,no
blue-collar,married,professional.course,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,no
management,divorced,university.degree,unknown,unknown,unknown,telephone,jun,mon,no
self-employed,single,university.degree,no,yes,yes,telephone,jun,mon,no
technician,married,basic.9y,no,no,no,telephone,jun,mon,no
blue-collar,single,basic.9y,no,yes,no,telephone,jun,mon,yes
management,married,university.degree,unknown,no,no,telephone,jun,mon,no
admin.,married,university.degree,no,no,no,telephone,jun,mon,no
management,married,basic.4y,no,no,no,telephone,jun,tue,no
blue-collar,single,high.school,no,yes,no,telephone,jun,tue,no
services,married,high.school,no,yes,no,telephone,jun,tue,no
admin.,single,high.school,no,no,no,telephone,jun,tue,no
services,married,high.school,no,yes,no,telephone,jun,tue,no
self-employed,divorced,university.degree,unknown,yes,no,telephone,jun,tue,no
blue-collar,married,basic.6y,no,no,no,telephone,jun,tue,no
blue-collar,married,basic.6y,no,no,no,telephone,jun,tue,no
admin.,single,high.school,no,no,no,telephone,jun,tue,no
self-employed,married,professional.course,no,yes,no,telephone,jun,tue,no
services,married,high.school,unknown,yes,no,telephone,jun,tue,no
admin.,divorced,unknown,no,yes,no,telephone,jun,tue,yes
services,married,high.school,no,yes,yes,telephone,jun,tue,no
admin.,divorced,university.degree,no,no,no,telephone,jun,tue,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,tue,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,no
entrepreneur,single,university.degree,no,no,no,telephone,jun,wed,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,wed,no
blue-collar,married,unknown,no,yes,no,telephone,jun,wed,no
self-employed,married,university.degree,unknown,yes,no,telephone,jun,wed,no
blue-collar,married,professional.course,unknown,yes,no,telephone,jun,wed,no
blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,no
technician,married,basic.9y,no,no,yes,telephone,jun,wed,no
blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,no
technician,married,basic.9y,unknown,yes,no,telephone,jun,wed,no
unknown,married,unknown,unknown,yes,no,telephone,jun,wed,no
services,married,basic.6y,unknown,yes,no,telephone,jun,wed,no
admin.,married,university.degree,no,yes,no,telephone,jun,wed,no
services,married,basic.9y,no,yes,no,telephone,jun,wed,no
services,married,unknown,unknown,no,no,telephone,jun,wed,no
blue-collar,divorced,basic.4y,unknown,no,no,telephone,jun,wed,no
technician,married,professional.course,no,no,no,telephone,jun,wed,no
admin.,single,basic.6y,no,no,no,telephone,jun,wed,no
entrepreneur,married,university.degree,no,no,no,telephone,jun,wed,no
admin.,married,high.school,no,no,no,telephone,jun,wed,no
housemaid,married,basic.4y,no,no,no,telephone,jun,wed,no
services,divorced,professional.course,unknown,yes,no,telephone,jun,wed,no
admin.,married,university.degree,no,yes,yes,telephone,jun,wed,no
services,single,high.school,no,no,no,telephone,jun,wed,no
management,married,university.degree,no,no,no,telephone,jun,wed,no
blue-collar,married,unknown,unknown,no,no,telephone,jun,wed,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,wed,no
blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,no
admin.,married,university.degree,unknown,yes,yes,telephone,jun,thu,no
admin.,married,high.school,no,yes,no,telephone,jun,thu,no
services,single,basic.9y,no,no,no,telephone,jun,thu,no
retired,married,basic.9y,no,no,yes,telephone,jun,thu,no
services,single,unknown,no,yes,no,telephone,jun,thu,no
services,married,basic.4y,no,no,no,telephone,jun,thu,no
services,married,professional.course,unknown,no,no,telephone,jun,thu,no
blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,thu,yes
unemployed,married,basic.9y,no,yes,yes,telephone,jun,thu,no
blue-collar,married,high.school,no,yes,yes,telephone,jun,thu,yes
technician,married,basic.9y,no,yes,yes,telephone,jun,thu,no
blue-collar,single,basic.6y,no,yes,no,telephone,jun,thu,no
self-employed,married,professional.course,no,yes,no,telephone,jun,thu,no
admin.,single,professional.course,no,no,yes,telephone,jun,thu,no
admin.,married,high.school,no,unknown,unknown,telephone,jun,thu,no
admin.,single,university.degree,no,no,no,telephone,jun,thu,no
blue-collar,married,high.school,no,no,no,telephone,jun,thu,no
admin.,divorced,high.school,no,yes,no,telephone,jun,thu,no
blue-collar,married,basic.9y,no,no,yes,telephone,jun,thu,no
technician,single,professional.course,unknown,yes,yes,telephone,jun,thu,no
management,married,university.degree,unknown,no,yes,telephone,jun,thu,no
self-employed,married,professional.course,unknown,yes,no,telephone,jun,thu,no
services,divorced,high.school,unknown,yes,no,telephone,jun,thu,no
blue-collar,married,basic.6y,no,yes,no,telephone,jun,thu,no
technician,single,professional.course,no,no,yes,telephone,jun,thu,no
blue-collar,single,basic.4y,no,yes,no,telephone,jun,thu,no
blue-collar,single,high.school,unknown,no,no,telephone,jun,thu,no
admin.,married,university.degree,no,no,no,telephone,jun,thu,no
blue-collar,single,basic.9y,no,yes,yes,telephone,jun,thu,yes
admin.,single,university.degree,unknown,yes,no,telephone,jun,thu,no
admin.,divorced,high.school,unknown,no,no,telephone,jun,thu,no
retired,single,professional.course,no,yes,no,telephone,jun,thu,no
services,divorced,high.school,no,no,no,telephone,jun,thu,no
technician,unknown,unknown,unknown,no,no,telephone,jun,thu,no
retired,married,high.school,no,yes,no,telephone,jun,thu,yes
admin.,single,university.degree,no,no,no,telephone,jun,thu,no
blue-collar,divorced,basic.4y,unknown,no,no,telephone,jun,thu,no
unknown,married,basic.4y,unknown,yes,no,telephone,jun,thu,no
blue-collar,married,high.school,unknown,no,no,telephone,jun,thu,no
technician,single,unknown,no,yes,no,telephone,jun,thu,no
self-employed,divorced,professional.course,no,yes,no,telephone,jun,thu,no
retired,divorced,basic.4y,unknown,yes,no,telephone,jun,thu,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,thu,no
blue-collar,married,basic.9y,unknown,yes,yes,telephone,jun,thu,no
services,single,high.school,no,no,no,telephone,jun,fri,yes
blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,no
blue-collar,single,high.school,unknown,yes,no,telephone,jun,fri,yes
services,married,basic.9y,unknown,no,no,telephone,jun,fri,no
services,married,high.school,no,no,no,telephone,jun,fri,no
admin.,married,university.degree,no,no,no,telephone,jun,fri,no
management,married,university.degree,no,no,no,telephone,jun,fri,no
admin.,single,high.school,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.6y,no,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,no,no,telephone,jun,fri,no
housemaid,married,basic.6y,no,no,no,telephone,jun,fri,no
admin.,married,high.school,no,no,no,telephone,jun,fri,no
services,married,high.school,no,yes,yes,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
self-employed,married,basic.6y,unknown,no,yes,telephone,jun,fri,no
technician,single,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,no
admin.,married,high.school,no,no,no,telephone,jun,fri,no
self-employed,single,university.degree,no,no,no,telephone,jun,fri,yes
technician,married,high.school,no,no,no,telephone,jun,fri,no
services,married,high.school,no,no,no,telephone,jun,fri,no
services,married,high.school,no,yes,no,telephone,jun,fri,no
services,married,high.school,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,no
management,married,basic.9y,no,yes,yes,telephone,jun,fri,no
technician,single,professional.course,no,no,no,telephone,jun,fri,no
services,single,high.school,no,no,no,telephone,jun,fri,no
admin.,single,basic.9y,no,yes,no,telephone,jun,fri,no
admin.,single,professional.course,no,yes,yes,telephone,jun,fri,no
admin.,single,professional.course,no,yes,yes,telephone,jun,fri,no
self-employed,single,university.degree,no,yes,no,telephone,jun,fri,no
blue-collar,single,basic.4y,no,yes,no,telephone,jun,fri,no
admin.,single,high.school,no,no,no,telephone,jun,fri,no
services,married,high.school,no,unknown,unknown,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,no
blue-collar,married,high.school,no,no,no,telephone,jun,fri,no
technician,married,basic.4y,unknown,yes,yes,telephone,jun,fri,no
blue-collar,married,unknown,unknown,no,no,telephone,jun,fri,no
technician,single,professional.course,no,no,no,telephone,jun,fri,no
blue-collar,single,basic.9y,no,yes,no,telephone,jun,fri,no
blue-collar,married,professional.course,unknown,no,yes,telephone,jun,fri,no
technician,divorced,basic.4y,no,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,yes,yes,telephone,jun,fri,no
blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,no
entrepreneur,married,basic.9y,no,no,no,telephone,jun,fri,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,no
admin.,married,university.degree,no,yes,no,telephone,jun,fri,no
blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,no
blue-collar,single,basic.6y,unknown,yes,no,telephone,jun,fri,no
blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,no
housemaid,divorced,basic.4y,no,no,no,telephone,jun,fri,no
housemaid,married,basic.4y,no,no,yes,telephone,jun,fri,no
technician,single,professional.course,unknown,yes,no,telephone,jun,fri,no
admin.,married,high.school,no,yes,yes,telephone,jun,fri,no
services,divorced,high.school,no,yes,no,telephone,jun,fri,no
entrepreneur,divorced,university.degree,no,no,no,telephone,jun,fri,no
blue-collar,single,basic.6y,no,no,no,telephone,jun,fri,no
technician,single,university.degree,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.4y,no,yes,yes,telephone,jun,mon,no
technician,single,professional.course,no,yes,no,telephone,jun,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,no
blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,no
self-employed,married,professional.course,no,no,no,telephone,jun,mon,no
services,single,high.school,no,no,no,telephone,jun,mon,no
entrepreneur,divorced,university.degree,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,no
admin.,single,university.degree,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,jun,mon,no
admin.,married,university.degree,no,no,no,telephone,jun,mon,no
admin.,married,high.school,no,no,no,telephone,jun,mon,no
admin.,married,university.degree,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,mon,no
self-employed,married,professional.course,no,yes,no,telephone,jun,mon,no
management,married,university.degree,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,no
admin.,married,professional.course,no,no,yes,telephone,jun,mon,no
retired,married,basic.4y,unknown,yes,no,telephone,jun,mon,no
unemployed,married,basic.4y,no,no,no,telephone,jun,mon,no
self-employed,divorced,professional.course,no,yes,no,telephone,jun,mon,no
blue-collar,single,unknown,unknown,no,no,telephone,jun,mon,no
admin.,single,high.school,no,yes,yes,telephone,jun,mon,no
admin.,single,high.school,no,no,no,telephone,jun,mon,no
admin.,single,high.school,no,no,yes,telephone,jun,mon,no
technician,single,university.degree,no,yes,no,telephone,jun,mon,no
self-employed,single,university.degree,no,yes,no,telephone,jun,mon,no
technician,divorced,basic.9y,no,yes,no,telephone,jun,mon,no
admin.,single,high.school,no,unknown,unknown,telephone,jun,mon,no
blue-collar,married,basic.6y,no,no,no,telephone,jun,mon,no
self-employed,single,university.degree,unknown,no,yes,telephone,jun,mon,no
technician,single,university.degree,no,yes,no,telephone,jun,mon,no
technician,married,university.degree,no,no,no,telephone,jun,mon,no
technician,married,basic.9y,no,no,no,telephone,jun,mon,yes
blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,mon,no
housemaid,married,basic.4y,no,no,no,telephone,jun,mon,no
blue-collar,married,basic.4y,no,yes,yes,telephone,jun,mon,no
entrepreneur,married,university.degree,no,yes,yes,telephone,jul,tue,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,tue,no
services,married,high.school,no,yes,no,telephone,jul,tue,yes
blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,no
management,married,university.degree,no,no,yes,telephone,jul,tue,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,tue,no
retired,married,basic.4y,no,yes,no,telephone,jul,tue,no
services,single,high.school,no,yes,no,telephone,jul,tue,no
blue-collar,married,unknown,no,yes,no,telephone,jul,tue,no
admin.,married,high.school,no,yes,no,telephone,jul,tue,no
admin.,married,high.school,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,no
self-employed,married,university.degree,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,jul,tue,no
blue-collar,married,basic.4y,unknown,no,no,telephone,jul,tue,no
blue-collar,married,basic.9y,no,yes,no,telephone,jul,tue,no
technician,single,professional.course,no,yes,no,telephone,jul,tue,no
technician,married,professional.course,no,yes,no,telephone,jul,tue,no
blue-collar,single,basic.6y,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.9y,no,yes,no,telephone,jul,tue,no
blue-collar,married,basic.6y,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.9y,no,no,no,telephone,jul,tue,no
unemployed,single,high.school,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.4y,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.4y,no,no,no,telephone,jul,tue,no
admin.,divorced,unknown,no,no,no,telephone,jul,tue,no
unemployed,married,basic.9y,unknown,no,no,telephone,jul,tue,no
services,divorced,high.school,no,no,yes,telephone,jul,tue,no
technician,married,professional.course,unknown,no,no,telephone,jul,tue,no
unemployed,married,basic.9y,unknown,yes,no,telephone,jul,tue,no
blue-collar,married,basic.4y,unknown,no,no,telephone,jul,tue,no
technician,married,high.school,no,no,no,telephone,jul,tue,no
management,married,university.degree,no,no,no,telephone,jul,tue,no
housemaid,married,high.school,no,no,yes,telephone,jul,tue,no
technician,single,professional.course,no,yes,yes,telephone,jul,tue,no
admin.,married,high.school,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.9y,no,unknown,unknown,telephone,jul,tue,no
blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,no
blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,no
services,married,high.school,unknown,yes,no,telephone,jul,tue,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jul,tue,no
admin.,married,basic.6y,no,no,no,telephone,jul,tue,no
services,divorced,high.school,no,no,no,telephone,jul,tue,no
blue-collar,married,unknown,no,no,no,telephone,jul,tue,no
blue-collar,married,basic.6y,no,no,no,telephone,jul,tue,no
retired,married,basic.4y,no,no,no,telephone,jul,tue,no
admin.,married,university.degree,no,no,no,telephone,jul,tue,no
blue-collar,divorced,basic.9y,no,no,no,telephone,jul,tue,no
retired,divorced,university.degree,no,no,no,telephone,jul,tue,no
self-employed,married,professional.course,no,yes,yes,telephone,jul,tue,no
retired,married,high.school,no,yes,yes,telephone,jul,tue,no
services,single,professional.course,no,yes,no,telephone,jul,tue,no
admin.,married,high.school,no,yes,yes,telephone,jul,tue,no
entrepreneur,single,university.degree,no,yes,no,telephone,jul,tue,no
blue-collar,married,basic.9y,no,no,yes,telephone,jul,tue,yes
admin.,married,high.school,no,no,yes,telephone,jul,tue,no
technician,married,professional.course,no,yes,no,telephone,jul,tue,no
services,married,basic.9y,no,yes,no,telephone,jul,tue,no
management,married,university.degree,no,no,yes,telephone,jul,tue,yes
blue-collar,single,basic.4y,no,no,no,telephone,jul,wed,no
blue-collar,married,university.degree,no,no,no,telephone,jul,wed,no
admin.,divorced,high.school,no,no,no,telephone,jul,wed,no
blue-collar,married,unknown,unknown,no,no,telephone,jul,wed,no
housemaid,married,basic.4y,no,yes,no,telephone,jul,wed,no
blue-collar,married,basic.6y,no,no,no,telephone,jul,wed,no
technician,single,high.school,no,no,no,telephone,jul,wed,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jul,wed,no
technician,single,professional.course,no,no,no,telephone,jul,wed,no
blue-collar,divorced,basic.9y,no,no,no,telephone,jul,wed,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,wed,no
blue-collar,single,high.school,no,no,no,telephone,jul,wed,no
technician,married,professional.course,no,no,no,telephone,jul,wed,no
technician,single,high.school,no,yes,no,telephone,jul,wed,no
unemployed,single,high.school,no,yes,no,telephone,jul,wed,no
services,single,high.school,no,no,no,telephone,jul,wed,no
services,married,high.school,unknown,no,no,telephone,jul,wed,no
services,married,high.school,no,no,no,telephone,jul,wed,no
management,married,university.degree,no,yes,no,telephone,jul,wed,no
admin.,single,university.degree,no,yes,yes,telephone,jul,wed,no
services,divorced,basic.9y,no,yes,no,telephone,jul,wed,no
self-employed,married,university.degree,no,yes,yes,telephone,jul,wed,no
services,married,high.school,no,no,no,telephone,jul,wed,no
admin.,divorced,professional.course,unknown,no,no,telephone,jul,thu,no
services,married,high.school,no,yes,no,telephone,jul,thu,no
management,single,university.degree,no,no,yes,telephone,jul,thu,no
retired,married,unknown,no,no,no,telephone,jul,thu,no
admin.,married,high.school,unknown,no,no,telephone,jul,thu,no
entrepreneur,married,basic.6y,no,yes,no,telephone,jul,thu,no
housemaid,married,basic.9y,no,no,no,telephone,jul,thu,no
blue-collar,divorced,basic.4y,no,yes,yes,telephone,jul,thu,no
management,married,university.degree,no,yes,no,telephone,jul,thu,no
admin.,single,university.degree,no,yes,no,telephone,jul,thu,no
blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,no
technician,single,university.degree,no,yes,no,telephone,jul,thu,no
blue-collar,married,basic.4y,unknown,yes,yes,telephone,jul,thu,no
technician,single,professional.course,no,yes,no,telephone,jul,thu,no
retired,divorced,professional.course,no,no,no,telephone,jul,thu,no
